Sector;Name ;lon1 ;lat1;lon2;lat2;lon3;lat3;lon4;lat4;lon5;lat5;lon6;lat6
1;Straight 16-2;52.962404;6.523999;52.962249;6.524211;52.96443;6.528706;52.964556;6.52845;0;0;0;0
2;Haarbocht;52.964556;6.52845;52.96443;6.528706;52.964258;6.529783;52.964418;6.530018;52.96481;6.529094;0;0
3;Madijk;52.964258;6.529783;52.964418;6.530018;52.964;6.531145;52.962806;6.531377;52.962808;6.530988;0;0
4;Ossebroeken;52.962806;6.531377;52.962808;6.530988;52.962849;6.529727;52.962939;6.529402;52.9622;6.528783;52.961543;6.531467
5;Strubben;52.962849;6.529727;52.962939;6.529402;52.963107;6.529054;52.96321;6.528695;52.963694;6.529387;52.963461;6.530223
6;Veenslang;52.963107;6.529054;52.96321;6.528695;52.958896;6.524282;52.958732;6.524672;52.961528;6.527949;0;0
7;Ruskenhoek;52.958896;6.524282;52.958732;6.524672;52.957604;6.523115;52.957999;6.522647;0;0;0;0
8;Stekkenwal;52.957604;6.523115;52.957999;6.522647;52.957334;6.520913;52.956228;6.520756;52.956244;6.521233;0;0
9;De Bult;52.956228;6.520756;52.956244;6.521233;52.954622;6.52092;52.954538;6.517018;52.954897;6.51694;0;0
10;;52.954538;6.517018;52.954897;6.51694;52.954805;6.513765;52.953755;6.513337;52.953755;6.513781;0;0
11;Mandeven;52.953755;6.513337;52.953755;6.513781;52.952592;6.513254;52.952825;6.511795;52.953071;6.512022;0;0
12;Duikerssloot;52.952825;6.511795;52.953071;6.512022;52.954262;6.511515;52.954411;6.511104;52.953403;6.510614;0;0
13;Meeuwenmeer;52.954262;6.511515;52.954411;6.511104;52.956448;6.5135;52.955992;6.513776;0;0;0;0
14;Hogeheide;52.956448;6.5135;52.955992;6.513776;52.957311;6.519748;52.957814;6.519448;0;0;0;0
15;Ramshoek;52.957311;6.519748;52.957814;6.519448;52.960278;6.521031;52.96031;6.52164;52.958064;6.521361;0;0
16;Geert-Timmer Bocht;52.96031;6.52164;52.960278;6.521031;52.961412;6.521448;52.962404;6.523999;52.962249;6.524211;52.960982;6.522698
